,0
0,4.990185200000001
1,2.5623793999999998
2,2.3352863999999993
3,2.9722604666666665
4,2.545740333333334
5,2.0383997333333332
6,2.0545261999999997
7,2.158039533333333
8,4.285705133333334
9,3.0454811333333334
10,2.3874001333333337
11,2.144333066666667
12,2.3153595333333334
13,2.599993066666666
14,2.0262666
15,2.2410536666666667
16,2.4588736
17,1.9511860666666663
18,1.950899666666667
19,1.6617597333333332
20,2.2883131333333333
21,2.1636729999999997
22,1.649360066666667
23,2.59559348
