,0
0,5.145177466666666
1,5.125378133333333
2,3.4896327999999994
3,2.9914129333333337
4,3.1099995333333337
5,3.2515458000000006
6,3.0902930666666673
7,2.7247402
8,3.4528194000000005
9,2.463286866666667
10,1.8662336
11,2.3631396733333334
12,2.801115066666666
13,2.5523274000000002
14,2.2290542
15,2.8265668066666665
16,2.9812532666666667
17,2.691119866666667
18,2.999753333333333
19,2.9011062666666665
20,2.757806466666666
21,2.4119800666666666
22,2.654206333333333
23,2.4823402
