,0
0,5.7229058
1,4.530208266666666
2,3.8929907333333333
3,3.9490199333333327
4,3.8212235333333333
5,3.208528666666667
6,3.6132042666666666
7,2.8377997333333336
8,3.9340523333333333
9,2.2956646666666667
10,2.5170998
11,3.567031933333333
12,2.5831641999999997
13,2.2510779999999997
14,2.1479980000000003
15,2.0704488
16,3.7612305999999993
17,3.220979733333333
18,3.2727754000000004
19,3.872548133333333
20,3.2867058666666664
21,3.3739663333333336
22,8.754190533333333
23,2.5682576666666663
