,Name,,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,Mean Sample 1 (Seconds),SD Sample 1 (Seconds),Mean Sample 2 (Seconds),SD Sample 2 (Seconds),Diff In Seconds,Fraction In Seconds
0,"Metrics Stats By Entire Condition Btw Exp and Control (H1 + H2 in Control), (H1 + H2 in Exp)",,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats Btw Exp and Control,,-0.6136340858360605,238.0,two-sided,0.5400431853300229,[-5.54  2.91],0.07921981983694248,0.169,0.09376859840331248,7.792474891666667,16.451415064396432,9.109171766666666,16.65079043840577,-1.316696874999999,-0.16897030703404445
T-test,Interruption Lag's Stats Btw Exp and Control,,-0.022310077152584377,238.0,two-sided,0.9822193036412423,[-2.77  2.71],0.002880218575485396,0.141,0.05005655967066306,5.095120394166667,11.414964465010486,5.1261928,10.026456146318065,-0.03107240583333315,-0.006098463515976486
T-test,Accuracy's Stats Btw Exp and Control,,1.367877893393733,238.0,two-sided,0.1726404459744353,[-1.82 10.11],0.17659227669197372,0.342,0.27549868421447277,17.20354421041921,26.229252288092255,13.060519434269434,20.091944452365638,4.143024776149776,4.143024776149776
T-test,Inter Conditions Path Errors Stats,,0.29380865896633473,118.0,two-sided,0.7694202736038833,[-0.57  0.77],0.053641876702068,0.202,0.059784840209860204,0.8611111111111112,1.9372485898215106,0.7611111111111112,1.755511602825319,0.09999999999999998,0.09999999999999998
T-test,Inter Conditions ToH Optimalities Stats,,1.717841112950371,118.0,two-sided,0.08844865932248823,[-1.25 17.62],0.31363344259089937,0.731,0.3990593533922029,33.545977309727306,28.948992726436934,25.35992775742776,22.39954804380405,8.186049552299547,8.186049552299547
T-test,Speed's Stats Btw Exp and Control,,0.2597195762209321,238.0,two-sided,0.7953046179954416,[-33.84  44.12],0.03352965311292393,0.146,0.057699907878950164,108.10594535999999,156.22807384498492,102.96637332583333,148.9744560852679,5.139572034166662,0.0475419924135675
0,"Metrics Stats BTW H1 and H2 Across Conditions (H1 in Control + H1 in Exp), (H2 in Control + H2 in Exp)",,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW H1 and H2 Across Conditions,,-0.1725255759481485,238.0,two-sided,0.8631709774537137,[-4.6   3.86],0.022272956081400733,0.143,0.053389110604338215,8.265591358333333,18.544664347807508,8.6360553,14.310539040727702,-0.3704639416666673,
T-test,Interruption Lag's Stats BTW H1 and H2 Across Conditions,,1.2162636161004752,238.0,two-sided,0.2250893941855613,[-1.05  4.42],0.15701895765850504,0.284,0.22780636257463888,5.955014306666667,9.08929056815966,4.2662988875,12.115718568157307,1.6887154191666678,
T-test,Accuracies Lag's Stats BTW H1 and H2 Across Conditions,,-0.8667092226595936,238.0,two-sided,0.3869742830810854,[-8.61  3.35],0.11189167951216608,0.201,0.13875319570046646,13.816413817663816,25.139744392027737,16.44764982702483,21.558612781259036,-2.6312360093610128,
T-test,Speeds Lag's Stats BTW H1 and H2 Across Conditions,,0.8907197139479254,238.0,two-sided,0.3739790886396105,[-21.32  56.52],0.11499142060863163,0.206,0.14387864930066066,114.3359473875,177.61794452870552,96.73637129833332,122.10978857446759,17.599576089166675,
0,Metrics Stats BTW H1 and H2 within Experimental Intervention,,,,,,,,,,,,,,,
T-test,Resumption Lag's Stats BTW H1 and H2 Experimental Intervention,,0.11980826034606565,118.0,two-sided,0.9048387836502332,[-5.63  6.36],0.021873895588997286,0.196,0.05161928152026805,7.973910533333334,18.127891037461065,7.611039250000001,14.581215449745761,0.36287128333333296,
